Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
136	262	0	1.87832012	0	0	0	0	0	5e-06	0	100	0	0	3
137	266	0	1.8921313	0	0	0	0	0	5e-06	0	100	0	0	3
138	270	0	1.90594247	0	0	0	0	0	5e-06	0	100	0	0	3
139	272	0	1.91975365	0	0	0	0	0	5e-06	0	100	0	0	3
140	275	0	1.93356483	0	0	0	0	0	5e-06	0	100	0	0	3
141	278	0	1.94737601	0	0	0	0	0	5e-06	0	100	0	0	3
142	280	0	1.96118718	0	0	0	0	0	5e-06	0	100	0	0	3
143	281	0	1.97499836	0	0	0	0	0	5e-06	0	100	0	0	3
144	283	0	1.98880954	0	0	0	0	0	5e-06	0	100	0	0	3
145	285	0	2.00262072	0	0	0	0	0	5e-06	0	100	0	0	3
146	287	0	2.01643189	0	0	0	0	0	5e-06	0	100	0	0	3
147	289	0	2.03024307	0	0	0	0	0	5e-06	0	100	0	0	3
148	291	0	2.04405425	0	0	0	0	0	5e-06	0	100	0	0	3
149	295	0	2.05786543	0	0	0	0	0	5e-06	0	100	0	0	3
150	298	0	2.0716766	0	0	0	0	0	5e-06	0	100	0	0	3
151	299	0	2.08548778	0	0	0	0	0	5e-06	0	100	0	0	3
152	301	0	2.09929896	0	0	0	0	0	5e-06	0	100	0	0	3
153	303	0	2.11311014	0	0	0	0	0	5e-06	0	100	0	0	3
154	305	0	2.12692131	0	0	0	0	0	5e-06	0	100	0	0	3
155	307	0	2.14073249	0	0	0	0	0	5e-06	0	100	0	0	3
156	309	0	2.15454367	0	0	0	0	0	5e-06	0	100	0	0	3
157	311	0	2.16835484	0	0	0	0	0	5e-06	0	100	0	0	3
158	315	0	2.18216602	0	0	0	0	0	5e-06	0	100	0	0	3
159	320	0	2.1959772	0	0	0	0	0	5e-06	0	100	0	0	3
160	324	0	2.20978838	0	0	0	0	0	5e-06	0	100	0	0	3
161	327	0	2.22359955	0	0	0	0	0	5e-06	0	100	0	0	3
162	329	0	2.23741073	0	0	0	0	0	5e-06	0	100	0	0	3
163	331	0	2.25122191	0	0	0	0	0	5e-06	0	100	0	0	3
164	333	0	2.26503309	0	0	0	0	0	5e-06	0	100	0	0	3
165	335	0	2.27884426	0	0	0	0	0	5e-06	0	100	0	0	3
166	337	0	2.29265544	0	0	0	0	0	5e-06	0	100	0	0	3
167	338	0	2.30646662	0	0	0	0	0	5e-06	0	100	0	0	3
168	340	0	2.3202778	0	0	0	0	0	5e-06	0	100	0	0	3
169	342	0	2.33408897	0	0	0	0	0	5e-06	0	100	0	0	3
170	344	0	2.34790015	0	0	0	0	0	5e-06	0	100	0	0	3
171	346	0	2.36171133	0	0	0	0	0	5e-06	0	100	0	0	3
