Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
139	272	0	1.91975365	293.200004	293.200004	293.200004	293.200005	1.56168198e-08	2.93200004e-06	0	100	0	0	3
140	275	0	1.93356483	293.200004	293.200004	293.200004	293.200005	1.7221339e-08	2.93200004e-06	0	100	0	0	3
141	278	0	1.94737601	293.200004	293.200004	293.200004	293.200005	1.94249878e-08	2.93200004e-06	0	100	0	0	3
142	280	0	1.96118718	293.200004	293.200004	293.200004	293.200005	2.28217232e-08	2.93200004e-06	0	100	0	0	3
143	281	0	1.97499836	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
144	283	0	1.98880954	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
145	285	0	2.00262072	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
146	287	0	2.01643189	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
147	289	0	2.03024307	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
148	291	0	2.04405425	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
149	295	0	2.05786543	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
150	298	0	2.0716766	293.200004	293.200004	293.200004	293.200005	2.37001245e-08	2.93200004e-06	0	100	0	0	3
151	299	0	2.08548778	293.200004	293.200004	293.200004	293.200005	2.54445354e-08	2.93200004e-06	0	100	0	0	3
152	301	0	2.09929896	293.200004	293.200004	293.200004	293.200005	2.61715627e-08	2.93200004e-06	0	100	0	0	3
153	303	0	2.11311014	293.200004	293.200004	293.200004	293.200005	2.61715627e-08	2.93200004e-06	0	100	0	0	3
154	305	0	2.12692131	293.200004	293.200004	293.200004	293.200005	2.61715627e-08	2.93200004e-06	0	100	0	0	3
155	307	0	2.14073249	293.200004	293.200004	293.200004	293.200005	2.99168619e-08	2.93200004e-06	0	100	0	0	3
156	309	0	2.15454367	293.200004	293.200004	293.200004	293.200005	3.45465878e-08	2.93200004e-06	0	100	0	0	3
157	311	0	2.16835484	293.200004	293.200004	293.200004	293.200005	3.67311372e-08	2.93200004e-06	0	100	0	0	3
158	315	0	2.18216602	293.200004	293.200004	293.200004	293.200005	3.67311372e-08	2.93200004e-06	0	100	0	0	3
159	320	0	2.1959772	293.200005	293.200004	293.200004	293.200005	3.67311372e-08	2.93200005e-06	0	100	0	0	3
160	324	0	2.20978838	293.200005	293.200004	293.200004	293.200005	3.67311372e-08	2.93200005e-06	0	100	0	0	3
161	327	0	2.22359955	293.200005	293.200004	293.200004	293.200005	3.67311372e-08	2.93200005e-06	0	100	0	0	3
162	329	0	2.23741073	293.200005	293.200004	293.200004	293.200005	3.67311372e-08	2.93200005e-06	0	100	0	0	3
163	331	0	2.25122191	293.200005	293.200004	293.200004	293.200005	3.67311372e-08	2.93200005e-06	0	100	0	0	3
164	333	0	2.26503309	293.200005	293.200004	293.200004	293.200005	3.67311372e-08	2.93200005e-06	0	100	0	0	3
165	335	0	2.27884426	293.200005	293.200004	293.200004	293.200005	3.74295723e-08	2.93200005e-06	0	100	0	0	3
166	337	0	2.29265544	293.200005	293.200004	293.200004	293.200005	3.74295723e-08	2.93200005e-06	0	100	0	0	3
167	338	0	2.30646662	293.200005	293.200004	293.200004	293.200005	3.84464443e-08	2.93200005e-06	0	100	0	0	3
168	340	0	2.3202778	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
169	342	0	2.33408897	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
170	344	0	2.34790015	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
171	346	0	2.36171133	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
172	348	0	2.3755225	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
173	350	0	2.38933368	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
174	352	0	2.40314486	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
175	353	0	2.41695604	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
176	355	0	2.43076721	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
177	357	0	2.44457839	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
178	359	0	2.45838957	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
179	361	0	2.47220075	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
180	363	0	2.48601192	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
181	365	0	2.4998231	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
182	366	0	2.51363428	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
183	368	0	2.52744546	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
184	370	0	2.54125663	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
185	372	0	2.55506781	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
186	374	0	2.56887899	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
187	376	0	2.58269017	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
188	378	0	2.59650134	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
189	381	0	2.61031252	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
190	383	0	2.6241237	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
191	386	0	2.63793487	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
192	388	0	2.65174605	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
193	391	0	2.66555723	293.200004	293.200004	293.200004	293.200005	3.84464443e-08	2.93200004e-06	0	100	0	0	3
194	394	0	2.67936841	293.200004	293.200004	293.200004	293.200005	3.51406015e-08	2.93200004e-06	0	100	0	0	3
195	397	0	2.69317958	293.200004	293.200004	293.200004	293.200005	2.87506055e-08	2.93200004e-06	0	100	0	0	3
196	399	0	2.70699076	293.200005	293.200004	293.200004	293.200005	2.029185e-08	2.93200005e-06	0	100	0	0	3
197	402	0	2.72080194	293.200004	293.200004	293.200004	293.200005	1.42190402e-08	2.93200004e-06	0	100	0	0	3
198	404	0	2.73461312	293.200004	293.200004	293.200004	293.200005	1.25809265e-08	2.93200004e-06	0	100	0	0	3
199	405	0	2.74842429	293.200004	293.200004	293.200004	293.200005	1.46613388e-08	2.93200004e-06	0	100	0	0	3
200	407	0	2.76223547	293.200004	293.200004	293.200004	293.200005	2.11151701e-08	2.93200004e-06	0	100	0	0	3
