Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
136	262	0	1.87832012	101343.63	101343.778	101343.36	101344.286	0.339957155	0.0848653187	0	24.9	0	0	3
137	266	0	1.8921313	101343.841	101343.776	101343.36	101344.286	0.314693007	0.0848653187	0	26.9	0	0	3
138	270	0	1.90594247	101344.032	101343.78	101343.36	101344.286	0.295813232	0.0848653187	0	28.6	0	0	3
139	272	0	1.91975365	101344.164	101343.797	101343.36	101344.286	0.28412904	0.0848653187	0	29.8	0	0	3
140	275	0	1.93356483	101344.201	101343.819	101343.36	101344.286	0.272699452	0.0848653187	0	31.1	0	0	3
141	278	0	1.94737601	101344.211	101343.836	101343.36	101344.286	0.274644667	0.0848653187	0	30.9	0	0	3
142	280	0	1.96118718	101344.42	101343.856	101343.36	101344.42	0.282368759	0.0848653187	0	30	0	0	3
143	281	0	1.97499836	101344.367	101343.87	101343.36	101344.42	0.282787676	0.0848653187	0	30	0	0	3
144	283	0	1.98880954	101344.295	101343.879	101343.36	101344.42	0.279584977	0.0848653187	0	30.3	0	0	3
145	285	0	2.00262072	101344.178	101343.888	101343.36	101344.42	0.273906716	0.0848653187	0	30.9	0	0	3
146	287	0	2.01643189	101344.327	101343.895	101343.36	101344.42	0.269167491	0.0848653187	0	31.5	0	0	3
147	289	0	2.03024307	101344.581	101343.907	101343.36	101344.581	0.273298012	0.0848653187	0	31	0	0	3
148	291	0	2.04405425	101344.458	101343.919	101343.36	101344.581	0.276599654	0.0848653187	0	30.6	0	0	3
149	295	0	2.05786543	101344.269	101343.929	101343.36	101344.581	0.284466039	0.0848653187	0	29.8	0	0	3
150	298	0	2.0716766	101344.459	101343.944	101343.36	101344.581	0.299575255	0.0848653187	0	28.3	0	0	3
151	299	0	2.08548778	101344.591	101343.971	101343.36	101344.591	0.31735686	0.0848653187	0	26.7	0	0	3
152	301	0	2.09929896	101344.546	101343.986	101343.36	101344.591	0.317581401	0.0848653187	0	26.7	0	0	3
153	303	0	2.11311014	101344.666	101343.998	101343.36	101344.666	0.324503106	0.0848653187	0	26.1	0	0	3
154	305	0	2.12692131	101344.758	101344.022	101343.36	101344.758	0.34874529	0.0848653187	0	24.3	0	0	3
155	307	0	2.14073249	101345.05	101344.058	101343.36	101345.05	0.384571313	0.0848653187	0	22	0	0	3
156	309	0	2.15454367	101345.027	101344.1	101343.36	101345.05	0.418102937	0.0848653187	0	20.2	0	0	3
157	311	0	2.16835484	101344.812	101344.132	101343.36	101345.05	0.434058269	0.0848653187	0	19.5	0	0	3
158	315	0	2.18216602	101344.453	101344.147	101343.36	101345.05	0.427631192	0.0848653187	0	19.8	0	0	3
159	320	0	2.1959772	101344.135	101344.148	101343.36	101345.05	0.400052993	0.0848653187	0	21.2	0	0	3
160	324	0	2.20978838	101343.914	101344.138	101343.36	101345.05	0.374461987	0.0848653187	0	22.6	0	0	3
161	327	0	2.22359955	101343.711	101344.126	101343.36	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
162	329	0	2.23741073	101343.45	101344.11	101343.36	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
163	331	0	2.25122191	101343.351	101344.091	101343.351	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
164	333	0	2.26503309	101343.41	101344.079	101343.351	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
165	335	0	2.27884426	101343.221	101344.07	101343.221	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
166	337	0	2.29265544	101343.087	101344.062	101343.087	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
167	338	0	2.30646662	101342.949	101344.046	101342.949	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
168	340	0	2.3202778	101343.218	101344.038	101342.949	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
169	342	0	2.33408897	101343.287	101344.035	101342.949	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
170	344	0	2.34790015	101343.55	101344.04	101342.949	101345.05	0.373265498	0.0848653187	0	22.7	0	0	3
171	346	0	2.36171133	101343.906	101344.055	101342.949	101345.05	0.373176363	0.0848653187	0	22.7	0	0	3
172	348	0	2.3755225	101343.81	101344.063	101342.949	101345.05	0.37230955	0.0848653187	0	22.7	0	0	3
173	350	0	2.38933368	101343.83	101344.069	101342.949	101345.05	0.37230955	0.0848653187	0	22.7	0	0	3
174	352	0	2.40314486	101343.818	101344.068	101342.949	101345.05	0.367878609	0.0848653187	0	23	0	0	3
175	353	0	2.41695604	101344.096	101344.07	101342.949	101345.05	0.350751794	0.0848653187	0	24.1	0	0	3
176	355	0	2.43076721	101344.245	101344.072	101342.949	101345.05	0.328710963	0.0848653187	0	25.8	0	0	3
177	357	0	2.44457839	101344.087	101344.069	101342.949	101345.05	0.312199899	0.0848653187	0	27.1	0	0	3
178	359	0	2.45838957	101344.05	101344.064	101342.949	101345.05	0.29207868	0.0848653187	0	29	0	0	3
179	361	0	2.47220075	101344.05	101344.054	101342.949	101345.05	0.278273467	0.0848653187	0	30.4	0	0	3
180	363	0	2.48601192	101344.174	101344.049	101342.949	101345.05	0.26879392	0.0848653187	0	31.5	0	0	3
181	365	0	2.4998231	101344.271	101344.049	101342.949	101345.05	0.259986059	0.0848653187	0	32.6	0	0	3
182	366	0	2.51363428	101344.322	101344.052	101342.949	101345.05	0.253369768	0.0848653187	0	33.4	0	0	3
183	368	0	2.52744546	101344.452	101344.056	101342.949	101345.05	0.240944206	0.0848653187	0	35.2	0	0	3
184	370	0	2.54125663	101344.491	101344.053	101342.949	101345.05	0.229174862	0.0848653187	0	37	0	0	3
185	372	0	2.55506781	101344.518	101344.055	101342.949	101345.05	0.218543939	0.0848653187	0	38.8	0	0	3
186	374	0	2.56887899	101344.524	101344.062	101342.949	101345.05	0.203434724	0.0848653187	0	41.7	0	0	3
187	376	0	2.58269017	101344.455	101344.062	101342.949	101345.05	0.1769435	0.0848653187	0	47.9	0	0	3
188	378	0	2.59650134	101344.447	101344.058	101342.949	101345.05	0.162185897	0.0848653187	0	52.3	0	0	3
189	381	0	2.61031252	101344.517	101344.057	101342.949	101345.05	0.14994681	0.0848653187	0	56.5	0	0	3
190	383	0	2.6241237	101344.652	101344.057	101342.949	101345.05	0.125704626	0.0848653187	0	67.5	0	0	3
191	386	0	2.63793487	101344.704	101344.055	101342.949	101345.05	0.11256299	0.0848653187	0	75.3	0	0	3
192	388	0	2.65174605	101344.594	101344.043	101342.949	101345.027	0.11256299	0.0848653187	0	75.3	0	0	3
193	391	0	2.66555723	101344.574	101344.031	101342.949	101344.812	0.117220095	0.0848653187	0	72.3	0	0	3
194	394	0	2.67936841	101344.332	101344.018	101342.949	101344.704	0.13018286	0.0848653187	0	65.1	0	0	3
195	397	0	2.69317958	101344.129	101344.009	101342.949	101344.704	0.138935701	0.0848653187	0	61	0	0	3
196	399	0	2.70699076	101343.926	101344.003	101342.949	101344.704	0.134541483	0.0848653187	0	63	0	0	3
197	402	0	2.72080194	101344.01	101344.006	101342.949	101344.704	0.122536786	0.0848653187	0	69.2	0	0	3
198	404	0	2.73461312	101344.153	101344.018	101342.949	101344.704	0.106432061	0.0848653187	0	79.7	0	0	3
199	405	0	2.74842429	101344.293	101344.041	101342.949	101344.704	0.08723782	0.0848653187	0	97.2	0	0	3
200	407	0	2.76223547	101344.613	101344.075	101342.949	101344.704	0.0755099227	0.0848653187	0	100	0	0	3
